been 4:3;8:211
crappy 9:6
bad 3:22,79
thought 9:67
year 1:99;2:14;8:19,82
jumpy 8:119
about 2:30;6:56
awful 1:107
convenience 4:85
flawless 1:84
laptop 5:14
properly 3:56,91
elective 7:24
would 3:83;5:39;8:199,209
appreciate 6:28
fix 8:32
estimate 8:71
because 8:134,173
you 6:8;7:8;8:43
suspension 7:25
they 8:218
addition 6:25
whatsoever 4:27
happen 8:22
sure 2:29
picky 9:25
vein 9:39
upgrade 6:1,43
edit 4:44,60,81
old 6:6,38,69
profile 1:31
want 2:59;7:11;8:29;10:11
myself 9:20
google 1:56,57,104;7:2,21;8:39
them 7:18;8:183,202
then 3:9,17;8:20,91
am 4:53
an 2:22,34,118,129;8:3;10:19
1 1:105
as 4:71,73;8:223;9:71;10:18
2 8:23
size 2:64
slow 9:8
5 1:82
guess 6:48
7 6:5,40
difference 6:13
device 2:110;5:26;10:34
much 2:125;8:129;9:31,49
compare 1:25,68;6:76
720p 4:61
be 3:48
another 8:112
least 7:16
roll 8:179
devicewear 2:92
recommend 5:40
immediately 2:84
battery 5:29
two 9:16
seem 3:46
result 8:145
see 8:45
same 10:33
are 6:26;8:219
unlike 6:36
by 8:2,52;9:89
temperature 3:49
where 2:57
after 6:42
so 1:77;2:25;9:48,87
charge 3:19,34,72
star 1:106
d 2:19
e 10:20
one 1:2,4,71;6:79;8:38,106,165
i 2:1,18,26,40,43,49,58,61,72,83,107,116,124;3:24;4:1,16,28,41,52,66,93;6:47,52,63,81;8:13,60,87,90,125,135,167,174;9:10,22,27,32,40,53,66,79;10:9,14
lighter 6:74
right 8:213
l 6:46
m 4:94;6:53,82;8:175;9:23,28
actually 3:89
awesome 1:39
ridiculous 1:46
fast 2:144;6:33
s 3:60;4:14,69;5:33;10:24
t 2:28,103;3:66;8:56
watch 4:32
throw 9:56
ask 9:29
days 1:35
junk 8:124
to 1:26;2:33,53,96,128;3:26,29,47;4:97;6:44,72,77;7:5,12;8:31,67,75,83,96,178,215;9:18,34,50,55,68,74,85;10:13,26
thing 6:51;8:214
but 1:29;2:38,105,123;3:38,57;4:83;9:77;10:22
asu 1:53,81;3:30;8:28,54,144,170,186
willing 8:177
reader 10:21
sometimes 2:99
buy 8:97
had 3:25;4:18;8:187;9:54
express 8:77
do 1:20,58;7:9;8:216;9:1;10:7
good 2:82;4:72;5:25,28;8:161
got 3:75;8:102
mainly 10:17
hold 7:20
unable 7:4
amazing 8:166
wasn 2:27
hero4 4:65,103
later 8:108
trivial 8:204
won 2:102;3:65;8:55
things 1:16;7:7
has 1:14,51;5:16
up 8:62;9:42
five 3:85
realize 9:80
tech 2:87
which 8:78
add 8:80
surprise 2:8;4:55
dedicated 4:79
pre 5:2
finally 4:12
this 1:1,91;2:17,66,127;3:81;4:87;5:6;6:78;8:9,21,164;9:5;10:1
count 4:92
its 2:79;9:36,90
weight 2:80
garbage 9:60
onto 4:105
ve 4:2,17;8:126
warm 3:61
frustrate 9:88
armor 2:88
month 3:8;8:24,107
port 3:20,73
piece 8:122;9:45
parts 8:98
sluggy 9:91
know 1:50;4:67
overall 6:30,80
worst 1:60
fixed 3:37;8:191
internet 10:28
little 4:88
child 9:76,83
next 1:98
cursor 2:56
drop 5:34
allow 7:23
some 1:15;8:156
shop 4:36
submit 8:73
android 2:35;6:45
for 2:10,135;3:4,31;4:7,20,31;8:16,111;9:4,15
back 1:43;2:47
update 1:111;8:4
video 4:47,62,80,100
we 1:67
life 5:30
disaster 9:47
button 2:48
not 2:67;3:44;4:70;6:54;7:10;8:176;9:2
common 8:113
now 1:34;2:39;4:11,23,25;8:168
end 8:61;9:41
company 8:154
hard 9:12,14
just 4:42,95;8:66
notice 6:11
over 4:21;8:6
again 2:114;3:80;8:105,184
was 1:3;2:133;3:36;8:10
start 3:10;4:43
go 3:78
purchase 6:87
counter 1:42
stars 1:83;3:86
teen 5:3
with 1:69;2:16;3:13;4:50;5:7;6:85;8:143,152,182
environment 3:53
what 4:91
vimeo 4:106
money 5:10;8:95,207
although 8:155
2015 1:96
cooler 3:52
2013 1:11
well 2:147
specially 6:41
time 8:130
avoid 8:169
pushed 8:5
he 5:15,32
big 2:69;4:75
6mos 4:22
very 4:54;9:13
software 1:101
